City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,72.81,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Rikitea,PF,77.54,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Sola,VU,75.87,few clouds,-13.8833,167.55,Leumerus Bungalows
10,Georgetown,MY,87.75,moderate rain,5.4112,100.3354,Cititel Penang
19,Bengkulu,ID,81.52,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
20,Sijunjung,ID,84.51,light rain,-0.6876,100.9537,Hotel Bukik Gadang
23,Auki,SB,78.44,light rain,-8.7676,160.7034,Auki Motel
26,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
29,Cartagena,CO,80.22,haze,10.3997,-75.5144,Hotel Colombia Real - Cartagena
31,Victoria,HK,78.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
36,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
39,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
41,Puerto Ayora,EC,70.05,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Maumere,ID,82.8,broken clouds,-8.6199,122.2111,Sylvia Hotel
49,Luwuk,ID,80.58,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
50,Dakar,SN,74.28,broken clouds,14.6937,-17.4441,Novotel Dakar
52,Yenagoa,NG,88.54,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
53,Nanzhou,CN,76.12,overcast clouds,29.3596,112.4024,兴禹国际大酒店
61,Mahibadhoo,MV,83.89,overcast clouds,3.7833,72.9667,Omadhoo Inn
66,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
67,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
70,Port Alfred,ZA,77.18,clear sky,-33.5906,26.891,The Halyards Hotel
71,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Port Elizabeth,ZA,84.09,clear sky,-33.918,25.5701,39 On Nile Guest House
73,Butaritari,KI,82.13,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
77,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Hami,CN,86.2,clear sky,42.8,93.45,Laoyutang Resort
81,Caravelas,BR,73.22,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
83,Dawei,MM,81.66,overcast clouds,14.0833,98.2,Hotel Dawei
86,Tabuk,PH,79.77,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
87,Namatanai,PG,80.85,light rain,-3.6667,152.4333,Seagulls Inn Namatani
90,Port Blair,IN,89.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
92,Tucurui,BR,73.22,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
96,Biak,ID,79.57,broken clouds,-0.9131,122.8766,Penginapan Kim
97,Ahuimanu,US,74.91,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
98,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
99,Mlonggo,ID,83.66,overcast clouds,-6.5333,110.7,Asia Metal Art
101,Pandamatenga,BW,74.95,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
103,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
