City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,72.81,70,39,6.8,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,42.46,56,100,17.27,overcast clouds
2,Alizai,PK,33.5383,70.3462,90.88,21,65,16.93,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,77.54,74,87,15.17,overcast clouds
4,Shizunai,JP,42.3339,142.3669,45.45,77,77,13.13,broken clouds
5,Sola,VU,-13.8833,167.55,75.87,100,20,0.0,few clouds
6,Chuy,UY,-33.6971,-53.4616,55.0,74,33,7.81,scattered clouds
7,Bluff,NZ,-46.6,168.3333,53.8,83,43,6.96,scattered clouds
8,Hasaki,JP,35.7333,140.8333,57.29,58,6,10.65,clear sky
9,Airai,TL,-8.9266,125.4092,62.01,87,67,2.84,broken clouds
10,Georgetown,MY,5.4112,100.3354,87.75,70,20,5.75,moderate rain
11,Tiksi,RU,71.6872,128.8694,18.81,87,100,3.65,overcast clouds
12,Hobart,AU,-42.8794,147.3294,64.26,56,100,12.66,overcast clouds
13,Kodiak,US,57.79,-152.4072,42.31,87,100,6.91,light rain
14,Bardiyah,LY,31.7561,25.0865,67.3,66,49,23.71,scattered clouds
15,Ossora,RU,59.2353,163.0719,24.4,97,17,3.27,few clouds
16,Eureka,US,40.8021,-124.1637,49.93,80,22,4.0,few clouds
17,Albany,US,42.6001,-73.9662,49.37,90,100,2.48,overcast clouds
18,Avera,US,33.194,-82.5271,66.54,90,100,5.03,overcast clouds
19,Bengkulu,ID,-3.8004,102.2655,81.52,83,73,4.5,light rain
20,Sijunjung,ID,-0.6876,100.9537,84.51,69,100,2.64,light rain
21,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,100,21.85,overcast clouds
22,Gemena,CD,3.25,19.7667,93.67,38,60,4.72,broken clouds
23,Auki,SB,-8.7676,160.7034,78.44,83,81,3.62,light rain
24,Ergolding,DE,48.5833,12.1667,68.0,63,16,1.99,few clouds
25,Yerbogachen,RU,61.2767,108.0108,34.39,99,100,5.68,snow
26,Bambous Virieux,MU,-20.3428,57.7575,83.21,78,40,11.5,scattered clouds
27,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.44,94,91,0.65,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,12.04,67,75,5.75,light shower snow
29,Cartagena,CO,10.3997,-75.5144,80.22,94,75,3.44,haze
30,Nikolskoye,RU,59.7035,30.7861,48.78,39,8,15.7,clear sky
31,Victoria,HK,22.2855,114.1577,78.96,57,86,5.99,overcast clouds
32,Pisco,PE,-13.7,-76.2167,61.02,91,30,2.68,scattered clouds
33,Svetlogorsk,BY,52.6333,29.7333,61.18,56,57,12.75,broken clouds
34,Klaksvik,FO,62.2266,-6.589,41.92,84,100,27.49,overcast clouds
35,Provideniya,RU,64.3833,-173.3,22.39,66,59,4.7,broken clouds
36,Yeppoon,AU,-23.1333,150.7333,73.18,83,6,12.93,clear sky
37,Aki,JP,33.5,133.9,62.55,73,0,2.21,clear sky
38,Southbridge,US,42.0751,-72.0334,46.92,96,100,3.0,overcast clouds
39,Kloulklubed,PW,7.0419,134.2556,81.1,76,69,13.56,moderate rain
40,New Norfolk,AU,-42.7826,147.0587,63.91,49,100,1.99,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,70.05,93,16,5.39,few clouds
42,Fairmont,US,39.4851,-80.1426,54.52,86,100,3.04,overcast clouds
43,Najran,SA,17.4924,44.1277,95.65,10,1,7.45,clear sky
44,Esperance,AU,-33.8667,121.9,55.24,67,100,17.43,light rain
45,Maumere,ID,-8.6199,122.2111,82.8,74,76,5.95,broken clouds
46,Busselton,AU,-33.65,115.3333,59.68,67,77,12.57,broken clouds
47,Bethel,US,41.3712,-73.414,49.95,91,92,3.11,overcast clouds
48,Aswan,EG,24.0934,32.907,103.3,14,0,8.05,clear sky
49,Luwuk,ID,-0.9516,122.7875,80.58,88,71,2.28,broken clouds
50,Dakar,SN,14.6937,-17.4441,74.28,94,75,9.22,broken clouds
51,Brae,GB,60.3964,-1.353,44.02,56,98,6.87,overcast clouds
