City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobyo,SO,2022-05-02 07:55:19,5.3505,48.5268,90.73,53,100,14.34
1,Dalvik,IS,2022-05-02 07:55:19,65.9702,-18.5286,30.13,67,91,3.76
2,Hilo,US,2022-05-02 07:55:20,19.7297,-155.09,73.27,99,100,3.0
3,Punta Arenas,CL,2022-05-02 07:52:33,-53.15,-70.9167,35.71,93,75,6.91
4,Tuatapere,NZ,2022-05-02 07:55:21,-46.1333,167.6833,52.88,85,67,5.08
5,Ust-Maya,RU,2022-05-02 07:55:21,60.4167,134.5333,46.53,66,68,11.07
6,Butaritari,KI,2022-05-02 07:55:22,3.0707,172.7902,81.52,79,18,13.18
7,Porto-Vecchio,FR,2022-05-02 07:55:23,41.591,9.2795,65.73,72,20,5.75
8,Mataura,NZ,2022-05-02 07:53:11,-46.1927,168.8643,55.47,78,26,2.04
9,Betsiamites,CA,2022-05-02 07:55:23,48.9413,-68.646,34.2,90,5,5.82
10,Lehigh Acres,US,2022-05-02 07:50:31,26.6254,-81.6248,70.95,93,0,3.44
11,Barrow,US,2022-05-02 07:49:43,71.2906,-156.7887,17.62,86,100,14.97
12,Iqaluit,CA,2022-05-02 07:55:24,63.7506,-68.5145,22.73,86,100,5.75
13,Bethel,US,2022-05-02 07:54:27,41.3712,-73.414,52.88,88,100,1.01
14,Geraldton,AU,2022-05-02 07:55:25,-28.7667,114.6,75.61,53,0,19.57
15,Laguna,US,2022-05-02 07:53:14,38.421,-121.4238,61.45,65,7,6.08
16,Aktau,KZ,2022-05-02 07:55:26,43.65,51.2,72.18,33,19,16.26
17,Kodiak,US,2022-05-02 07:55:26,57.79,-152.4072,37.99,83,100,13.65
18,Porto Novo,BJ,2022-05-02 07:55:27,6.4965,2.6036,84.02,73,60,8.52
19,Ilulissat,GL,2022-05-02 07:50:58,69.2167,-51.1,5.56,85,100,3.96
20,Warkworth,NZ,2022-05-02 07:55:27,-36.4,174.6667,61.92,77,100,5.73
21,Shar,KZ,2022-05-02 07:55:28,49.5886,81.0453,73.6,37,100,14.12
22,San Rafael,AR,2022-05-02 07:55:28,-34.6177,-68.3301,49.82,41,100,4.74
23,Daru,PG,2022-05-02 07:55:29,-9.0763,143.2092,80.76,85,16,12.57
24,Khatanga,RU,2022-05-02 07:53:08,71.9667,102.5,25.39,76,100,13.09
25,Atikokan,CA,2022-05-02 07:55:30,48.7555,-91.6216,34.93,99,100,8.55
26,Port Lincoln,AU,2022-05-02 07:54:27,-34.7333,135.8667,63.64,67,0,10.38
27,Katsuura,JP,2022-05-02 07:55:30,35.1333,140.3,59.83,64,72,12.33
28,Rikitea,PF,2022-05-02 07:53:09,-23.1203,-134.9692,76.62,75,95,8.55
29,Puerto Ayora,EC,2022-05-02 07:55:31,-0.7393,-90.3518,71.22,93,56,4.16
30,Dakar,SN,2022-05-02 07:52:37,14.6937,-17.4441,68.88,94,75,9.22
31,Wattegama,LK,2022-05-02 07:55:32,6.7989,81.4808,95.45,42,100,0.78
32,Kudahuvadhoo,MV,2022-05-02 07:55:32,2.6708,72.8944,85.17,75,100,20.94
33,Mar Del Plata,AR,2022-05-02 07:51:26,-38.0023,-57.5575,51.87,69,100,3.44
34,Syracuse,IT,2022-05-02 07:55:33,37.0881,15.2792,61.32,66,0,4.07
35,Uva,RU,2022-05-02 07:55:34,56.9908,52.1852,49.03,48,94,11.61
36,Port Alfred,ZA,2022-05-02 07:55:34,-33.5906,26.891,67.17,79,16,6.08
37,Sorland,NO,2022-05-02 07:55:35,67.667,12.6934,37.26,59,89,16.02
38,Port Pirie,AU,2022-05-02 07:55:35,-33.1833,138.0167,69.89,47,0,0.4
39,Ushuaia,AR,2022-05-02 07:51:39,-54.8,-68.3,40.66,75,0,3.44
40,Longyearbyen,SJ,2022-05-02 07:55:36,78.2186,15.6401,12.04,62,40,8.05
41,Torbay,CA,2022-05-02 07:53:06,47.6666,-52.7314,38.88,96,100,6.91
42,Busselton,AU,2022-05-02 07:53:13,-33.65,115.3333,68.23,56,32,12.55
43,Vaini,TO,2022-05-02 07:53:06,-21.2,-175.2,77.16,88,75,12.66
44,Arraial Do Cabo,BR,2022-05-02 07:53:07,-22.9661,-42.0278,74.73,71,0,5.37
45,New Norfolk,AU,2022-05-02 07:53:12,-42.7826,147.0587,65.7,74,100,8.01
46,Kahului,US,2022-05-02 07:55:37,20.8947,-156.47,72.84,97,86,5.99
47,Fonte Boa,BR,2022-05-02 07:55:38,-2.4959,-66.2662,72.72,100,100,1.57
48,Los Llanos De Aridane,ES,2022-05-02 07:56:42,28.6585,-17.9182,67.12,44,20,17.0
49,Victoria,HK,2022-05-02 07:54:13,22.2855,114.1577,69.96,76,100,10.0
50,Kaitangata,NZ,2022-05-02 07:56:43,-46.2817,169.8464,54.41,78,69,2.84
51,Ovalle,CL,2022-05-02 07:56:43,-30.5983,-71.2003,58.39,64,100,1.59
52,Chokurdakh,RU,2022-05-02 07:56:44,70.6333,147.9167,22.69,94,47,6.35
53,Saint-Pierre,RE,2022-05-02 07:56:45,-21.3393,55.4781,83.88,70,0,9.22
54,Barra Patuca,HN,2022-05-02 07:56:45,15.8,-84.2833,77.45,88,100,7.85
55,Taquaritinga Do Norte,BR,2022-05-02 07:56:46,-7.9031,-36.0442,64.06,97,44,3.53
56,Kapaa,US,2022-05-02 07:56:47,22.0752,-159.319,73.38,81,0,20.71
57,Meulaboh,ID,2022-05-02 07:56:48,4.1363,96.1285,84.78,70,100,5.66
58,Urumqi,CN,2022-05-02 07:56:48,43.801,87.6005,83.35,9,0,24.61
59,Soyo,AO,2022-05-02 07:56:49,-6.1349,12.3689,80.96,79,65,5.44
60,Nikolskoye,RU,2022-05-02 07:56:50,59.7035,30.7861,49.91,44,38,8.5
61,Novomikhaylovskiy,RU,2022-05-02 07:56:51,44.2581,38.8578,50.38,89,100,14.72
62,Aleksandrovsk-Sakhalinskiy,RU,2022-05-02 07:56:51,50.8975,142.1561,39.7,84,100,5.55
63,Sao Joao Do Piaui,BR,2022-05-02 07:56:52,-8.3581,-42.2467,73.87,72,90,7.87
64,Bluff,NZ,2022-05-02 07:53:03,-46.6,168.3333,55.8,77,99,7.63
65,Leh,IN,2022-05-02 07:55:15,34.1667,77.5833,56.03,22,0,2.57
66,Oktyabrskiy,RU,2022-05-02 07:56:53,54.4815,53.471,50.32,38,59,10.07
67,Suntar,RU,2022-05-02 07:56:54,62.1444,117.6319,35.17,50,100,10.58
68,Georgetown,MY,2022-05-02 07:56:55,5.4112,100.3354,86.95,82,20,3.44
69,Constitucion,CL,2022-05-02 07:56:55,-35.3333,-72.4167,50.36,81,2,7.4
70,Avarua,CK,2022-05-02 07:56:56,-21.2078,-159.775,80.65,78,20,5.75
71,Umarkot,PK,2022-05-02 07:56:57,25.3616,69.7362,105.71,12,1,26.26
72,Isangel,VU,2022-05-02 07:56:57,-19.55,169.2667,79.18,90,16,5.75
73,Bonoua,CI,2022-05-02 07:56:58,5.2741,-3.595,83.82,77,100,5.53
74,Pisco,PE,2022-05-02 07:56:59,-13.7,-76.2167,62.65,82,0,2.3
75,Qaanaaq,GL,2022-05-02 07:53:02,77.484,-69.3632,8.22,64,99,7.81
76,Mosetse,BW,2022-05-02 07:57:00,-20.75,26.65,69.31,41,0,17.36
77,Cairns,AU,2022-05-02 07:57:00,-16.9167,145.7667,80.06,80,100,12.66
78,Lebu,CL,2022-05-02 07:57:01,-37.6167,-73.65,50.5,94,12,14.03
79,Hermanus,ZA,2022-05-02 07:57:01,-34.4187,19.2345,67.8,57,26,6.93
80,Darhan,MN,2022-05-02 07:57:02,49.4867,105.9228,80.8,10,38,13.24
81,Bambous Virieux,MU,2022-05-02 07:57:02,-20.3428,57.7575,84.22,74,40,8.05
82,Zemio,CF,2022-05-02 07:57:03,5.0314,25.1361,83.52,58,76,7.18
83,Yellowknife,CA,2022-05-02 07:56:54,62.456,-114.3525,32.56,74,0,9.22
84,Aykhal,RU,2022-05-02 07:57:04,66.0,111.5,31.19,81,100,19.33
85,Saint George,US,2022-05-02 07:57:04,37.1041,-113.5841,59.43,39,0,8.99
86,Albany,US,2022-05-02 07:53:45,42.6001,-73.9662,55.63,62,100,5.21
87,Cidreira,BR,2022-05-02 07:57:05,-30.1811,-50.2056,61.9,75,40,8.25
88,Hithadhoo,MV,2022-05-02 07:53:09,-0.6,73.0833,85.6,74,29,18.99
89,Broome,US,2022-05-02 07:57:06,42.2506,-75.833,55.02,91,100,1.99
90,San Cristobal,VE,2022-05-02 07:57:07,7.7669,-72.225,65.62,97,55,3.51
91,Avera,US,2022-05-02 07:57:07,33.194,-82.5271,66.54,96,100,5.03
92,Corralillo,CU,2022-05-02 07:57:08,22.9819,-80.5856,74.86,76,0,12.88
93,Barao De Melgaco,BR,2022-05-02 07:57:08,-16.1944,-55.9675,71.26,55,10,4.59
94,Hami,CN,2022-05-02 07:57:26,42.8,93.45,78.35,6,13,6.85
95,San Policarpo,PH,2022-05-02 07:58:09,12.1791,125.5072,83.23,70,29,7.38
96,Kirkwall,GB,2022-05-02 07:58:10,58.9848,-2.9587,46.45,87,75,14.97
97,Sao Jose De Ribamar,BR,2022-05-02 07:58:10,-2.5619,-44.0542,79.18,87,67,3.6
98,Saldanha,ZA,2022-05-02 07:58:12,-33.0117,17.9442,62.65,47,97,4.14
99,Airai,TL,2022-05-02 07:58:13,-8.9266,125.4092,70.86,57,43,4.23
100,Jutai,BR,2022-05-02 07:58:14,-5.1833,-68.9,71.71,99,100,0.92
101,Atar,MR,2022-05-02 07:58:14,20.5169,-13.0499,83.82,14,4,11.16
102,Birobidzhan,RU,2022-05-02 07:58:15,48.8,132.95,49.57,56,100,1.54
103,Fortuna,US,2022-05-02 07:58:16,40.5982,-124.1573,49.12,91,100,0.0
104,Jamestown,US,2022-05-02 07:56:46,42.097,-79.2353,53.24,95,100,6.91
105,Atuona,PF,2022-05-02 07:58:17,-9.8,-139.0333,78.53,82,100,14.63
106,Marawi,PH,2022-05-02 07:58:17,7.9986,124.2928,72.82,94,100,2.24
107,Carnarvon,AU,2022-05-02 07:58:18,-24.8667,113.6333,84.27,39,0,16.11
108,Akhmeta,GE,2022-05-02 07:58:19,42.0311,45.2075,57.72,79,100,4.34
109,Imbituba,BR,2022-05-02 07:58:20,-28.24,-48.6703,66.85,85,100,6.58
110,Coihaique,CL,2022-05-02 07:58:20,-45.5752,-72.0662,39.15,93,20,3.44
111,Thompson,CA,2022-05-02 07:54:25,55.7435,-97.8558,19.56,79,100,9.22
112,Tucurui,BR,2022-05-02 07:58:21,-3.7661,-49.6725,71.91,98,96,2.39
113,Hambantota,LK,2022-05-02 07:58:21,6.1241,81.1185,93.54,62,40,10.36
114,Norman Wells,CA,2022-05-02 07:58:22,65.282,-126.8329,44.64,49,40,13.8
115,Volodarsk,RU,2022-05-02 07:58:23,56.2261,43.1861,44.62,59,100,9.86
116,Polson,US,2022-05-02 07:58:09,47.6936,-114.1632,44.78,93,98,3.18
117,Cherskiy,RU,2022-05-02 07:53:05,68.75,161.3,27.79,92,48,3.47
118,Nantucket,US,2022-05-02 07:58:24,41.2835,-70.0995,50.02,86,81,12.03
119,Soe,ID,2022-05-02 07:58:24,-9.8607,124.284,77.04,58,64,8.43
120,Cape Town,ZA,2022-05-02 07:54:26,-33.9258,18.4232,73.11,68,0,3.44
121,Mersing,MY,2022-05-02 07:56:50,2.4312,103.8405,91.31,66,40,11.5
122,Tura,IN,2022-05-02 07:58:25,25.5198,90.2201,87.62,54,41,4.25
123,Half Moon Bay,US,2022-05-02 07:58:26,37.4636,-122.4286,53.38,85,100,16.11
124,Svetlyy,RU,2022-05-02 07:58:26,54.675,20.1347,50.05,57,10,3.51
125,Kruisfontein,ZA,2022-05-02 07:53:08,-34.0033,24.7314,61.88,52,1,6.15
126,Port Elizabeth,ZA,2022-05-02 07:53:13,-33.918,25.5701,67.32,71,0,6.91
127,Remiremont,FR,2022-05-02 07:58:27,48.0175,6.5882,51.98,56,100,2.08
128,Gamba,GA,2022-05-02 07:58:27,-2.65,10.0,80.35,84,98,4.14
129,Roma,US,2022-05-02 07:58:28,43.2128,-75.4557,57.81,68,100,8.05
130,Visalia,US,2022-05-02 07:58:29,36.3302,-119.2921,63.19,66,0,3.31
131,Severo-Kurilsk,RU,2022-05-02 07:53:03,50.6789,156.125,35.15,92,37,6.11
132,Grand Gaube,MU,2022-05-02 07:58:29,-20.0064,57.6608,84.38,66,1,5.99
133,Kenora,CA,2022-05-02 07:58:30,49.8167,-94.4337,34.77,100,100,10.36
134,Tuktoyaktuk,CA,2022-05-02 07:58:30,69.4541,-133.0374,31.66,98,100,6.6
135,Juba,SS,2022-05-02 07:58:31,4.8517,31.5825,81.72,60,93,7.54
136,Kavieng,PG,2022-05-02 07:58:31,-2.5744,150.7967,83.79,75,100,8.03
137,Port Hedland,AU,2022-05-02 07:58:32,-20.3167,118.5667,87.85,45,100,10.36
138,Bilibino,RU,2022-05-02 07:58:32,68.0546,166.4372,21.43,84,17,2.13
139,Provideniya,RU,2022-05-02 07:58:33,64.3833,-173.3,21.04,59,10,10.16
140,Bergerac,FR,2022-05-02 07:59:34,44.8333,0.5,62.87,76,0,1.14
141,Katherine,AU,2022-05-02 07:59:34,-14.4667,132.2667,93.52,26,70,11.5
142,Bengkulu,ID,2022-05-02 07:59:35,-3.8004,102.2655,85.21,68,100,7.85
143,Lazaro Cardenas,MX,2022-05-02 07:59:35,17.9583,-102.2,72.1,79,83,4.34
144,Nanortalik,GL,2022-05-02 07:59:36,60.1432,-45.2371,34.57,93,100,1.25
145,Clyde River,CA,2022-05-02 07:59:36,70.4692,-68.5914,8.83,85,100,10.36
146,Belyy Yar,RU,2022-05-02 07:59:37,53.6039,91.3903,78.69,22,0,17.9
147,Sosnovo-Ozerskoye,RU,2022-05-02 07:59:37,52.5249,111.5418,64.8,30,99,16.46
148,East London,ZA,2022-05-02 07:59:38,-33.0153,27.9116,67.14,68,0,5.75
149,Biryusinsk,RU,2022-05-02 07:59:38,55.9634,97.8235,65.84,51,100,10.94
